web-scraper-order,web-scraper-start-url,page,page-href,name,price,stock,link,link-href
"1597509833-5523","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/52/?post_type=product&taxonomy=product_cat&s","Noctua NH-C14S 140mm SSO2 C-type Premium Quiet CPU Cooler","₹7,500 ₹6,749","Sold Out","Noctua NH-C14S 140mm SSO2 C-type Premium Quiet CPU Cooler","https://www.primeabgb.com/online-price-reviews-india/noctua-nh-c14s-140mm-sso2-c-type-premium-quiet-cpu-cooler/"
"1597509978-5803","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/43/?post_type=product&taxonomy=product_cat&s","Antec VALUE SOLUTION SERIES VSK4000B-U3 Mid Tower Cabinet","₹2,899 ₹2,200","Sold Out","Antec VALUE SOLUTION SERIES VSK4000B-U3 Mid Tower Cabinet","https://www.primeabgb.com/online-price-reviews-india/antec-value-solution-series-vsk4000b-u3-mid-tower-cabinet/"
"1597509893-5664","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/48/?post_type=product&taxonomy=product_cat&s","ADATA XPG Flame Series 8GB (8GBx1) DDR4 2666MHz Laptop Memory AX4S266638G18-SBF","₹3,800 ₹3,300","null","ADATA XPG Flame Series 8GB (8GBx1) DDR4 2666MHz Laptop Memory AX4S266638G18-SBF","https://www.primeabgb.com/online-price-reviews-india/adata-xpg-flame-series-8gb-8gbx1-ddr4-2666mhz-laptop-memory-ax4s266638g18-sbf/"
"1597510361-6494","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/20/?post_type=product&taxonomy=product_cat&s","G.Skill Aegis Series 16GB (16GBx1) DDR4 2400MHz Black Memory F4-2400C17S-16GIS","₹6,500 ₹5,325","Sold Out","G.Skill Aegis Series 16GB (16GBx1) DDR4 2400MHz Black Memory F4-2400C17S-16GIS","https://www.primeabgb.com/online-price-reviews-india/g-skill-aegis-series-16gb-16gbx1-ddr4-2400mhz-black-memory-f4-2400c17s-16gis/"
"1597509978-5789","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/43/?post_type=product&taxonomy=product_cat&s","ANTEC P7 SILENT ELITE PERFORMANCE ATX MID TOWER CABINET WITH SOUND DAMPENING SIDE PANEL","₹5,699 ₹4,410","Sold Out","ANTEC P7 SILENT ELITE PERFORMANCE ATX MID TOWER CABINET WITH SOUND DAMPENING SIDE PANEL","https://www.primeabgb.com/online-price-reviews-india/antec-p7-silent-elite-performance-atx-mid-tower-cabinet-sound-dampening-side-panel/"
"1597509508-4949","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/71/?post_type=product&taxonomy=product_cat&s","ASUS PRIME B450M-K Motherboard","₹8,411 ₹7,009","Sold Out","ASUS PRIME B450M-K Motherboard","https://www.primeabgb.com/online-price-reviews-india/asus-prime-b450m-k-motherboard/"
"1597510361-6487","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/20/?post_type=product&taxonomy=product_cat&s","Intel Xeon Silver 4110 P4X-SKL4110-SR3GH 2.10GHz Scalable Skylake LGA3647 Server Processor","Call for Price","null","Intel Xeon Silver 4110 P4X-SKL4110-SR3GH 2.10GHz Scalable Skylake LGA3647 Server Processor","https://www.primeabgb.com/online-price-reviews-india/intel-xeon-scalable-silver-4110-skylake-2-1-ghz-server-processor/"
"1597509163-4332","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/92/?post_type=product&taxonomy=product_cat&s","Thermaltake Litepower 450W LT-450P Power Supply","₹2,361 ₹2,150","Sold Out","Thermaltake Litepower 450W LT-450P Power Supply","https://www.primeabgb.com/online-price-reviews-india/thermaltake-litepower-450w-lt-450p-power-supply/"
"1597509818-5512","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/53/?post_type=product&taxonomy=product_cat&s","LOGITECH G213 PRODIGY Gaming Keyboard With RGB Backlight 920-008096","₹4,500 ₹3,750","null","LOGITECH G213 PRODIGY Gaming Keyboard With RGB Backlight 920-008096","https://www.primeabgb.com/online-price-reviews-india/logitech-g213-prodigy-gaming-keyboard-rgb-backlight-920-008096/"
"1597509316-4594","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/83/?post_type=product&taxonomy=product_cat&s","Dell S2715H Black 27 inch Widescreen LED Monitor","₹30,500 ₹19,500","Sold Out","Dell S2715H Black 27 inch Widescreen LED Monitor","https://www.primeabgb.com/online-price-reviews-india/dell-s2715h-black-27-widescreen-led-monitor/"
